MH32				rows = 1795
-15	-0.4708	0.18144	10000	0.0323
-14.5	-0.3987	0.15746	10000	0.0162
-14	-0.3792	0.15114	10000	0.0131
-13.5	-0.3598	0.14498	10000	0.01
-13	-0.3405	0.13883	10000	0.0071
-12.5	-0.3212	0.13275	10000	0.0041
-12	-0.302	0.12674	10000	0.0013
-11.5	-0.283	0.12081	10000	-0.0015
-11	-0.2641	0.11493	10000	-0.0042
-10.5	-0.2455	0.1091	10000	-0.0068
-10	-0.2272	0.10331	10000	-0.0094
-9.5	-0.2092	0.09755	10000	-0.0119
-9	-0.1916	0.09184	10000	-0.0144
-8.5	-0.2487	0.09674	10000	0.0002
-8	-0.3004	0.09925	10000	0.0079
-7.5	-0.3273	0.09793	10000	0.0093
-7	-0.3197	0.09161	10000	0.0078
-6.5	-0.3203	0.0863	10000	0.0077
-6	-0.343	0.08323	10000	0.01
-5.5	-0.3415	0.07689	10000	0.0098
-5	-0.3497	0.07144	10000	0.0113
-4.5	-0.3611	0.06609	10000	0.0136
-3.5	-0.1283	0.03881	10000	-0.0389
-3	-0.1505	0.03645	10000	-0.0352
-2.5	-0.1341	0.03551	10000	-0.0331
-2	-0.1021	0.03518	10000	-0.0314
-1.5	-0.0664	0.03513	10000	-0.0298
-1	-0.0292	0.0353	10000	-0.0283
-0.5	0.0086	0.03564	10000	-0.027
0	0.0463	0.03616	10000	-0.0258
0.5	0.0837	0.03685	10000	-0.0247
1	0.1204	0.03773	10000	-0.0237
1.5	0.1561	0.03882	10000	-0.0229
2	0.1905	0.04012	10000	-0.0223
2.5	0.2236	0.04168	10000	-0.0219
3	0.2551	0.04353	10000	-0.0218
3.5	0.2848	0.04569	10000	-0.0219
4	0.3128	0.04819	10000	-0.0224
4.5	0.3388	0.05107	10000	-0.0232
5	0.363	0.05436	10000	-0.0243
5.5	0.3853	0.05806	10000	-0.0258
6	0.406	0.06221	10000	-0.0276
6.5	0.4252	0.06679	10000	-0.0297
7	0.4433	0.07177	10000	-0.0322
7.5	0.4604	0.07716	10000	-0.0348
8	0.4768	0.08291	10000	-0.0377
8.5	0.4925	0.08899	10000	-0.0408
9	0.5078	0.09534	10000	-0.044
9.5	0.5229	0.10195	10000	-0.0472
10	0.538	0.10877	10000	-0.0507
10.5	0.5532	0.11575	10000	-0.0542
11	0.5686	0.12288	10000	-0.0577
11.5	0.5842	0.13013	10000	-0.0614
12	0.6001	0.13752	10000	-0.0651
12.5	0.6161	0.14506	10000	-0.0689
13	0.6324	0.15275	10000	-0.0726
13.5	0.6489	0.1606	10000	-0.0764
14	0.6656	0.16855	10000	-0.0803
14.5	0.6824	0.1766	10000	-0.0841
15	0.72	0.19012	10000	-0.0936
-5	-0.4183	0.07196	13000	-0.0042
-4.5	-0.3966	0.06406	13000	-0.0001
-4	-0.383	0.05747	13000	0.0032
-3.5	-0.3614	0.05017	13000	0.0034
-2.5	-0.1361	0.03195	13000	-0.0328
-2	-0.1042	0.03165	13000	-0.0312
-1.5	-0.0679	0.03165	13000	-0.0296
-1	-0.0301	0.03185	13000	-0.0282
-0.5	0.0081	0.03223	13000	-0.0269
0	0.0463	0.03278	13000	-0.0258
0.5	0.0839	0.03351	13000	-0.0247
1	0.1208	0.03443	13000	-0.0239
1.5	0.1565	0.03556	13000	-0.0232
2	0.191	0.03692	13000	-0.0227
2.5	0.2238	0.03855	13000	-0.0224
3	0.255	0.04047	13000	-0.0224
3.5	0.2844	0.04272	13000	-0.0227
4	0.312	0.04533	13000	-0.0234
4.5	0.3377	0.04834	13000	-0.0243
5	0.3614	0.05176	13000	-0.0257
5.5	0.3832	0.05561	13000	-0.0273
6	0.4036	0.05991	13000	-0.0293
6.5	0.4227	0.06465	13000	-0.0316
7	0.4407	0.0698	13000	-0.0342
7.5	0.4579	0.07534	13000	-0.037
8	0.4744	0.08123	13000	-0.0399
8.5	0.4902	0.08743	13000	-0.043
9	0.5057	0.09394	13000	-0.0463
9.5	0.5211	0.10071	13000	-0.0496
10	0.5366	0.10768	13000	-0.053
10.5	0.5522	0.11482	13000	-0.0565
11	0.568	0.1221	13000	-0.0601
11.5	0.584	0.1295	13000	-0.0637
12	0.6002	0.13702	13000	-0.0674
12.5	0.6166	0.14468	13000	-0.0711
13	0.6518	0.15634	13000	-0.0799
13.5	0.7021	0.17154	13000	-0.0912
14	0.7311	0.18309	13000	-0.0965
14.5	0.755	0.19314	13000	-0.1005
15	0.7754	0.2012	13000	-0.1032
-15	-0.5448	0.19649	15000	0.0295
-14.5	-0.5574	0.20563	15000	0.0311
-14	-0.5123	0.18388	15000	0.0281
-13.5	-0.4874	0.17305	15000	0.0264
-13	-0.4739	0.16742	15000	0.0263
-12.5	-0.4537	0.16017	15000	0.0258
-12	-0.4145	0.14746	15000	0.0227
-11.5	-0.3949	0.14292	15000	0.0226
-11	-0.3431	0.1287	15000	0.0157
-10.5	-0.2426	0.1069	15000	-0.0051
-10	-0.2236	0.10086	15000	-0.0076
-9.5	-0.2048	0.09485	15000	-0.0102
-9	-0.1863	0.08888	15000	-0.0127
-8.5	-0.1681	0.08298	15000	-0.0151
-8	-0.2019	0.08413	15000	-0.0052
-7.5	-0.323	0.09544	15000	0.0115
-7	-0.3789	0.09518	15000	0.0086
-6.5	-0.3831	0.08758	15000	0.0022
-6	-0.4025	0.08232	15000	-0.0014
-5.5	-0.427	0.07687	15000	-0.0075
-5	-0.4127	0.06845	15000	-0.0104
-4.5	-0.3966	0.06034	15000	-0.0143
-4	-0.3663	0.05233	15000	-0.0203
-3.5	-0.3445	0.04641	15000	-0.0117
-3	-0.3153	0.04003	15000	-0.0053
-2.5	-0.1381	0.02934	15000	-0.0326
-2	-0.106	0.02907	15000	-0.031
-1.5	-0.0691	0.0291	15000	-0.0295
-1	-0.0309	0.02934	15000	-0.0281
-0.5	0.0077	0.02974	15000	-0.0269
0	0.0462	0.03032	15000	-0.0258
0.5	0.084	0.03108	15000	-0.0248
1	0.121	0.03203	15000	-0.024
1.5	0.1567	0.0332	15000	-0.0234
2	0.191	0.03461	15000	-0.023
2.5	0.2237	0.0363	15000	-0.0229
3	0.2546	0.03829	15000	-0.023
3.5	0.2837	0.04062	15000	-0.0234
4	0.311	0.04333	15000	-0.0242
4.5	0.3363	0.04644	15000	-0.0254
5	0.3597	0.04997	15000	-0.0268
5.5	0.3814	0.05396	15000	-0.0286
6	0.4016	0.0584	15000	-0.0308
6.5	0.4206	0.06326	15000	-0.0332
7	0.4386	0.06852	15000	-0.0358
7.5	0.4558	0.07415	15000	-0.0387
8	0.4724	0.08013	15000	-0.0417
8.5	0.4884	0.08642	15000	-0.0448
9	0.5042	0.09305	15000	-0.0481
9.5	0.5199	0.09994	15000	-0.0514
10	0.5358	0.10705	15000	-0.0548
10.5	0.5517	0.11431	15000	-0.0583
11	0.5678	0.12171	15000	-0.0619
11.5	0.6014	0.13198	15000	-0.0701
12	0.6504	0.14487	15000	-0.0811
12.5	0.7	0.16299	15000	-0.0908
13	0.7203	0.16815	15000	-0.0926
13.5	0.7374	0.17582	15000	-0.0949
14	0.7573	0.18521	15000	-0.0977
14.5	0.7826	0.19505	15000	-0.0996
15	0.7999	0.20428	15000	-0.1015
-15	-0.5663	0.20223	20000	0.0215
-14.5	-0.5382	0.19026	20000	0.0204
-14	-0.5636	0.20286	20000	0.0198
-13.5	-0.5081	0.17575	20000	0.0174
-13	-0.5246	0.1826	20000	0.0178
-12.5	-0.4774	0.16241	20000	0.0161
-12	-0.4666	0.15609	20000	0.0159
-11.5	-0.4845	0.16233	20000	0.0192
-11	-0.4478	0.14833	20000	0.0184
-10.5	-0.4135	0.13611	20000	0.0173
-10	-0.3965	0.12996	20000	0.0185
-9.5	-0.3581	0.11746	20000	0.0165
-8.5	-0.1669	0.08149	20000	-0.0135
-8	-0.1466	0.07536	20000	-0.0164
-7	-0.3817	0.09309	20000	0.0054
-6.5	-0.4159	0.08628	20000	-0.0073
-6	-0.4313	0.07876	20000	-0.0164
-5.5	-0.4217	0.07042	20000	-0.0205
-5	-0.4103	0.06201	20000	-0.0247
-4.5	-0.3872	0.05494	20000	-0.0271
-4	-0.3456	0.04702	20000	-0.0321
-3.5	-0.2996	0.03949	20000	-0.0321
-3	-0.2644	0.0339	20000	-0.0257
-2	-0.1092	0.02547	20000	-0.0306
-1.5	-0.0714	0.02556	20000	-0.0293
-1	-0.0323	0.02584	20000	-0.028
-0.5	0.0069	0.02629	20000	-0.0269
0	0.0458	0.02692	20000	-0.0259
0.5	0.0838	0.02773	20000	-0.025
1	0.1208	0.02875	20000	-0.0244
1.5	0.1564	0.02999	20000	-0.0239
2	0.1904	0.03149	20000	-0.0237
2.5	0.2226	0.03327	20000	-0.0237
3	0.2531	0.03538	20000	-0.024
3.5	0.2818	0.03785	20000	-0.0247
4	0.3087	0.04072	20000	-0.0257
4.5	0.3338	0.044	20000	-0.0271
5	0.3568	0.04772	20000	-0.0288
5.5	0.3781	0.05191	20000	-0.0308
6	0.4046	0.05691	20000	-0.0345
6.5	0.5303	0.0677	20000	-0.0562
7	0.5947	0.07516	20000	-0.0636
7.5	0.6281	0.0823	20000	-0.0671
8	0.6972	0.09068	20000	-0.0714
8.5	0.6718	0.09708	20000	-0.0715
9	0.65	0.10432	20000	-0.0733
10.5	0.6356	0.12429	20000	-0.0779
11	0.7006	0.14373	20000	-0.0879
11.5	0.7249	0.15386	20000	-0.0904
12	0.7274	0.15621	20000	-0.0886
12.5	0.779	0.17746	20000	-0.0945
13	0.7557	0.17035	20000	-0.0909
13.5	0.7992	0.18702	20000	-0.093
14	0.7938	0.18941	20000	-0.0935
14.5	0.8604	0.22383	20000	-0.0985
15	0.822	0.20584	20000	-0.0967
-15	-0.5526	0.19431	25000	0.0184
-14.5	-0.5495	0.19403	25000	0.0159
-14	-0.5774	0.20677	25000	0.0132
-13.5	-0.5117	0.17466	25000	0.0127
-13	-0.5211	0.17801	25000	0.011
-12.5	-0.4986	0.16485	25000	0.0093
-12	-0.4767	0.1569	25000	0.0089
-11.5	-0.5241	0.1713	25000	0.0091
-11	-0.4511	0.14375	25000	0.008
-10.5	-0.4287	0.13417	25000	0.0079
-10	-0.47	0.14435	25000	0.0113
-9.5	-0.4474	0.1353	25000	0.0134
-9	-0.4252	0.12677	25000	0.0154
-8.5	-0.3784	0.11091	25000	0.0142
-8	-0.3222	0.09678	25000	0.0112
-7.5	-0.2856	0.08778	25000	0.0095
-7	-0.214	0.07567	25000	0.003
-6.5	-0.3902	0.08468	25000	-0.0017
-6	-0.4239	0.07718	25000	-0.0173
-5.5	-0.4238	0.06797	25000	-0.0264
-5	-0.4077	0.05818	25000	-0.0313
-4.5	-0.3699	0.05056	25000	-0.0372
-4	-0.3362	0.0423	25000	-0.0363
-3.5	-0.2899	0.0362	25000	-0.0361
-3	-0.2422	0.03081	25000	-0.0332
-2.5	-0.2316	0.02552	25000	-0.0159
-2	-0.112	0.02303	25000	-0.0303
-1.5	-0.0732	0.02316	25000	-0.0291
-1	-0.0336	0.02348	25000	-0.0279
-0.5	0.0061	0.02398	25000	-0.0269
0	0.0451	0.02464	25000	-0.026
0.5	0.0833	0.0255	25000	-0.0252
1	0.1201	0.02657	25000	-0.0247
1.5	0.1556	0.02788	25000	-0.0243
2	0.1892	0.02945	25000	-0.0242
2.5	0.2213	0.03133	25000	-0.0244
3	0.2516	0.03355	25000	-0.0249
3.5	0.28	0.03613	25000	-0.0257
4	0.3065	0.03911	25000	-0.0269
4.5	0.3311	0.04252	25000	-0.0285
5	0.4578	0.05002	25000	-0.0487
5.5	0.5377	0.05559	25000	-0.0579
6	0.6242	0.06093	25000	-0.0651
6.5	0.6608	0.06498	25000	-0.0649
7	0.7366	0.06973	25000	-0.0665
7.5	0.7626	0.07567	25000	-0.0654
8	0.781	0.08121	25000	-0.0628
8.5	0.81	0.08903	25000	-0.0621
9	0.8252	0.09565	25000	-0.0596
9.5	0.807	0.10671	25000	-0.063
10	0.8009	0.11797	25000	-0.0665
10.5	0.7872	0.12674	25000	-0.069
11	0.7271	0.14093	25000	-0.0842
11.5	0.7632	0.15462	25000	-0.0867
12	0.7517	0.15446	25000	-0.0848
12.5	0.7624	0.16266	25000	-0.0858
13	0.7849	0.17295	25000	-0.0864
13.5	0.8238	0.18848	25000	-0.0882
14	0.8142	0.19163	25000	-0.0895
14.5	0.8546	0.21197	25000	-0.0903
15	0.8368	0.20374	25000	-0.0911
-15	-0.5577	0.19441	30000	0.0157
-14.5	-0.5385	0.18626	30000	0.0142
-14	-0.539	0.18691	30000	0.0109
-13.5	-0.5645	0.1969	30000	0.0071
-13	-0.5007	0.16673	30000	0.0078
-12.5	-0.4996	0.16525	30000	0.0058
-12	-0.5339	0.17566	30000	0.0027
-11.5	-0.4634	0.14743	30000	0.0038
-11	-0.4978	0.15608	30000	0.0021
-10.5	-0.439	0.13381	30000	0.0021
-10	-0.4702	0.14029	30000	0.002
-9.5	-0.4124	0.12065	30000	0.002
-8.5	-0.3858	0.10751	30000	0.0046
-8	-0.37	0.10099	30000	0.0066
-7.5	-0.35	0.09399	30000	0.0084
-7	-0.3247	0.08636	30000	0.0095
-6.5	-0.3029	0.07887	30000	0.0083
-5.5	-0.4219	0.0664	30000	-0.0257
-5	-0.4042	0.05646	30000	-0.0337
-4.5	-0.373	0.04702	30000	-0.0373
-4	-0.329	0.03928	30000	-0.0389
-3.5	-0.2824	0.03373	30000	-0.0382
-3	-0.2272	0.02841	30000	-0.0367
-2.5	-0.1947	0.02225	30000	-0.0196
-1.5	-0.0748	0.02141	30000	-0.0289
-1	-0.0347	0.02177	30000	-0.0279
-0.5	0.0052	0.02229	30000	-0.0269
0	0.0444	0.023	30000	-0.0261
0.5	0.0826	0.0239	30000	-0.0254
1	0.1194	0.02502	30000	-0.0249
1.5	0.1547	0.02639	30000	-0.0247
2	0.1882	0.02803	30000	-0.0247
2.5	0.22	0.02999	30000	-0.025
3	0.2499	0.0323	30000	-0.0257
3.5	0.278	0.03497	30000	-0.0266
4	0.3877	0.0402	30000	-0.0427
