NACA0012			rows = 658
-5	-0.1554	0.05241	13000	-0.0187
-4	-0.1214	0.04591	13000	-0.021
-3	-0.0857	0.04119	13000	-0.0205
-2	-0.0513	0.03808	13000	-0.0168
-1	-0.023	0.03634	13000	-0.0095
0	0	0.03578	13000	-0
1	0.023	0.03634	13000	0.0095
2	0.0514	0.03807	13000	0.0168
3	0.0859	0.04117	13000	0.0205
4	0.1218	0.04588	13000	0.0209
5	0.156	0.05237	13000	0.0186
6	0.1879	0.06068	13000	0.0143
7	0.2182	0.07068	13000	0.0088
8	0.2483	0.08201	13000	0.0029
9	0.2793	0.09427	13000	-0.0031
10	0.312	0.10714	13000	-0.0091
11	0.3463	0.12033	13000	-0.0151
12	0.3818	0.13375	13000	-0.0212
13	0.4579	0.15577	13000	-0.0372
14	0.532	0.1775	13000	-0.0498
15	0.5846	0.19585	13000	-0.0562
-5	-0.4643	0.04986	25000	0.0261
-3	-0.0604	0.03341	25000	-0.0209
-2	-0.0239	0.02965	25000	-0.0192
-1	-0.0014	0.02752	25000	-0.0123
0	0	0.02682	25000	-0
1	0.0014	0.02751	25000	0.0123
2	0.0241	0.02964	25000	0.0192
3	0.0606	0.03339	25000	0.0208
4	0.2003	0.04175	25000	0.0001
5	0.4882	0.04921	25000	-0.0276
6	0.6292	0.05166	25000	-0.0159
7	0.659	0.06308	25000	-0.0073
8	0.6128	0.08334	25000	-0.01
9	0.5815	0.10374	25000	-0.0168
10	0.4773	0.12336	25000	-0.0356
11	0.5168	0.13888	25000	-0.0368
12	0.5473	0.15288	25000	-0.0376
13	0.5885	0.1701	25000	-0.0392
14	0.6287	0.18815	25000	-0.0414
15	0.6597	0.2038	25000	-0.0432
-5	-0.6185	0.02424	50000	0.0099
-4	-0.5427	0.02293	50000	0.0219
-3	-0.4481	0.0234	50000	0.0332
-2	-0.1897	0.02464	50000	0.0119
-1	0.0296	0.02169	50000	-0.0155
0	0	0.0208	50000	-0
1	-0.0295	0.02169	50000	0.0155
2	0.1898	0.02463	50000	-0.0119
3	0.4481	0.0234	50000	-0.0332
