HT14_Turb			rows = 352
-0.001	0	0.03015	13000	0
0.906	0.1	0.03038	13000	-0.0003
1.807	0.2	0.0311	13000	-0.0008
2.679	0.3	0.03268	13000	-0.0028
3.457	0.4	0.03893	13000	-0.0149
4.944	0.5	0.05721	13000	-0.0284
5.847	0.6	0.05628	13000	-0.0058
23.714	1	0.29807	13000	-0.1268
27.738	1.1	0.33623	13000	-0.1592
33.208	1.2	0.37429	13000	-0.2038
-0.001	-0	0.02499	25000	-0
0.911	0.1	0.02514	25000	0.0009
1.825	0.2	0.02562	25000	0.0018
2.795	0.3	0.02787	25000	0.0025
3.739	0.4	0.02965	25000	0.0033
4.697	0.5	0.03198	25000	0.0041
5.684	0.6	0.03543	25000	0.005
6.741	0.7	0.04139	25000	0.0054
27.537	1.1	0.33487	25000	-0.1603
32.886	1.2	0.37282	25000	-0.2042
-0.001	-0	0.02063	50000	-0
0.911	0.1	0.02126	50000	0.0005
1.821	0.2	0.02176	50000	0.0012
2.735	0.3	0.02248	50000	0.002
3.653	0.4	0.02349	50000	0.0027
4.577	0.5	0.02491	50000	0.0034
5.526	0.6	0.02694	50000	0.0044
6.509	0.7	0.02994	50000	0.0055
-0.001	0	0.01883	75000	-0
0.901	0.1	0.01874	75000	0.0005
1.802	0.2	0.01911	75000	0.0012
2.711	0.3	0.01969	75000	0.0019
3.626	0.4	0.02054	75000	0.0027
4.551	0.5	0.0217	75000	0.0036
5.491	0.6	0.02332	75000	0.0045
6.454	0.7	0.02558	75000	0.0055
8.598	0.9	0.03288	75000	0.0081
-0.001	0	0.01727	100000	-0
0.903	0.1	0.01734	100000	0.0007
1.808	0.2	0.01752	100000	0.0014
2.716	0.3	0.01803	100000	0.0022
3.627	0.4	0.01878	100000	0.0029
4.546	0.5	0.0198	100000	0.0036
5.477	0.6	0.02118	100000	0.0045
6.427	0.7	0.02306	100000	0.0054
7.438	0.8	0.02385	100000	0.0069
8.485	0.9	0.02808	100000	0.0081
9.747	1	0.03663	100000	0.0088
-0.001	0	0.01547	150000	-0
0.898	0.1	0.01554	150000	0.0006
1.798	0.2	0.01576	150000	0.0012
2.701	0.3	0.01611	150000	0.0018
3.609	0.4	0.01671	150000	0.0024
4.523	0.5	0.01754	150000	0.0031
5.447	0.6	0.01864	150000	0.0039
6.387	0.7	0.02013	150000	0.0048
8.38	0.9	0.02328	150000	0.0075
9.466	1	0.02798	150000	0.0087
11.082	1.1	0.04162	150000	0.009
-0.001	-0	0.01437	200000	-0
0.894	0.1	0.01444	200000	0.0005
1.791	0.2	0.01464	200000	0.001
2.69	0.3	0.01495	200000	0.0016
3.594	0.4	0.01548	200000	0.0021
4.503	0.5	0.01621	200000	0.0028
5.422	0.6	0.01716	200000	0.0035
6.352	0.7	0.01842	200000	0.0042
7.342	0.8	0.01823	200000	0.006
8.322	0.9	0.02068	200000	0.007
9.359	1	0.02426	200000	0.0082
10.565	1.1	0.03082	200000	0.0097
-0.001	-0	0.0136	250000	-0
0.892	0.1	0.01366	250000	0.0005
1.786	0.2	0.01385	250000	0.0009
2.683	0.3	0.01417	250000	0.0015
3.584	0.4	0.01463	250000	0.002
4.49	0.5	0.01528	250000	0.0026
5.405	0.6	0.01614	250000	0.0032
6.33	0.7	0.01727	250000	0.0039
7.316	0.8	0.01685	250000	0.0056
8.282	0.9	0.01898	250000	0.0066
9.294	1	0.02199	250000	0.0078
10.421	1.1	0.02709	250000	0.0093
