George_2_main				rows = 655
-4	-0.1021	0.0685	13000	-0.0422
-3	-0.1273	0.06318	13000	-0.0364
-2	-0.1617	0.05792	13000	-0.0288
-1	-0.1902	0.05259	13000	-0.0223
0	-0.1106	0.05302	13000	-0.0315
1	-0.018	0.05639	13000	-0.0384
2	0.0661	0.06079	13000	-0.0427
3	0.1434	0.066	13000	-0.0459
4	0.2148	0.072	13000	-0.0487
5	0.2808	0.07882	13000	-0.0513
6	0.3412	0.08652	13000	-0.054
7	0.3964	0.09516	13000	-0.0571
8	0.4463	0.10479	13000	-0.0605
9	0.4914	0.11544	13000	-0.0646
10	0.5324	0.12709	13000	-0.0694
11	0.5706	0.13965	13000	-0.0751
12	0.6074	0.153	13000	-0.0818
13	0.6441	0.16699	13000	-0.0892
14	0.7172	0.18675	13000	-0.1058
15	0.7776	0.2038	13000	-0.1178
-5	-0.5041	0.06604	25000	-0.0471
-4	-0.4037	0.05222	25000	-0.0558
-3	-0.3754	0.05116	25000	-0.0259
-2	-0.3852	0.0495	25000	0.0107
-1	-0.1813	0.04712	25000	-0.0195
0	-0.1156	0.04551	25000	-0.0323
1	-0.0023	0.04981	25000	-0.0451
2	0.0864	0.05487	25000	-0.0507
3	0.1643	0.06061	25000	-0.0544
4	0.2351	0.0671	25000	-0.0573
5	0.2996	0.07441	25000	-0.0601
6	0.3585	0.08265	25000	-0.063
7	0.4118	0.09191	25000	-0.0661
8	0.4606	0.10228	25000	-0.07
9	0.5536	0.11857	25000	-0.0842
10	0.6233	0.13307	25000	-0.0933
11	0.682	0.14706	25000	-0.1
12	0.7373	0.16147	25000	-0.106
13	0.784	0.17578	25000	-0.111
14	0.8146	0.18669	25000	-0.1148
15	0.8558	0.20016	25000	-0.12
-5	-0.4736	0.04698	50000	-0.0638
-4	-0.3735	0.04039	50000	-0.0644
-3	-0.2716	0.03805	50000	-0.0631
-2	-0.2327	0.04156	50000	-0.0466
-1	-0.162	0.04292	50000	-0.0418
0	-0.1047	0.04311	50000	-0.0346
1	0.0104	0.04615	50000	-0.0512
2	0.1044	0.05181	50000	-0.0586
3	0.228	0.06016	50000	-0.071
4	0.3303	0.06812	50000	-0.0793
5	0.4218	0.07606	50000	-0.0854
6	0.5188	0.08492	50000	-0.0918
7	0.7013	0.08464	50000	-0.097
8	0.7849	0.08953	50000	-0.0961
9	0.8914	0.09151	50000	-0.0943
11	1.3622	0.05105	50000	-0.0824
12	1.4324	0.05397	50000	-0.0741
13	1.4826	0.06278	50000	-0.0682
14	1.4735	0.07632	50000	-0.06
15	1.3606	0.09946	50000	-0.0541
-5	-0.4757	0.0426	75000	-0.0633
-4	-0.2926	0.03755	75000	-0.0776
-3	-0.1358	0.03673	75000	-0.0881
-2	-0.0254	0.039	75000	-0.0883
-1	0.08	0.04063	75000	-0.0886
0	0.1637	0.0417	75000	-0.0842
1	0.2774	0.04301	75000	-0.0899
2	0.4037	0.04629	75000	-0.0983
3	0.5157	0.04953	75000	-0.1025
4	0.6268	0.05248	75000	-0.1054
5	0.7033	0.05658	75000	-0.1038
6	0.8178	0.05813	75000	-0.1048
7	0.9107	0.05979	75000	-0.1024
9	1.3035	0.03806	75000	-0.1055
10	1.3995	0.03487	75000	-0.0982
11	1.4035	0.03955	75000	-0.0831
12	1.4249	0.04662	75000	-0.0732
13	1.4746	0.05382	75000	-0.0676
14	1.5393	0.06195	75000	-0.0641
15	1.572	0.07254	75000	-0.0591
-5	-0.2858	0.03636	100000	-0.0935
-4	-0.1296	0.03057	100000	-0.1051
-3	-0.0177	0.03233	100000	-0.1059
-2	0.1135	0.03298	100000	-0.1101
-1	0.212	0.03402	100000	-0.1087
0	0.3013	0.03495	100000	-0.1047
1	0.4038	0.03436	100000	-0.1022
2	0.5276	0.03639	100000	-0.1093
3	0.6374	0.03837	100000	-0.1119
4	0.7446	0.04001	100000	-0.1129
5	0.8912	0.03823	100000	-0.1169
6	1.0778	0.03252	100000	-0.1244
7	1.2129	0.02945	100000	-0.1251
8	1.3642	0.0261	100000	-0.1286
9	1.4111	0.02673	100000	-0.1159
10	1.4207	0.02986	100000	-0.0996
11	1.4035	0.03677	100000	-0.0835
12	1.4053	0.04482	100000	-0.0729
13	1.448	0.05141	100000	-0.067
14	1.5174	0.05761	100000	-0.0637
15	1.5615	0.06611	100000	-0.0593
-5	-0.148	0.02795	150000	-0.1131
-3	0.121	0.02385	150000	-0.1256
-2	0.2517	0.02324	150000	-0.1293
-1	0.3804	0.02252	150000	-0.1319
0	0.5058	0.02165	150000	-0.1331
3	0.8865	0.01906	150000	-0.1409
4	1.0126	0.01906	150000	-0.1444
5	1.1412	0.01864	150000	-0.1474
6	1.247	0.01855	150000	-0.1458
7	1.3411	0.01882	150000	-0.1421
8	1.397	0.01981	150000	-0.1313
9	1.4252	0.02203	150000	-0.1167
10	1.4265	0.02666	150000	-0.1004
11	1.407	0.03455	150000	-0.0854
12	1.4053	0.04305	150000	-0.0755
13	1.4245	0.05076	150000	-0.0688
14	1.4596	0.05757	150000	-0.0637
15	1.5044	0.06398	150000	-0.0594
-5	-0.0534	0.02181	200000	-0.1279
-3	0.2176	0.01762	200000	-0.14
-1	0.487	0.01561	200000	-0.1485
0	0.616	0.01496	200000	-0.1512
1	0.7221	0.01479	200000	-0.1493
2	0.832	0.01422	200000	-0.148
3	0.9474	0.01407	200000	-0.1491
4	1.0702	0.01441	200000	-0.1526
5	1.1738	0.0148	200000	-0.1514
6	1.2669	0.01533	200000	-0.148
7	1.3453	0.01617	200000	-0.1417
8	1.3934	0.01762	200000	-0.1299
9	1.4219	0.02041	200000	-0.116
10	1.4223	0.02576	200000	-0.1005
11	1.4135	0.03346	200000	-0.0873
12	1.4184	0.04163	200000	-0.0784
13	1.4317	0.04987	200000	-0.0717
14	1.4573	0.05746	200000	-0.0667
15	1.4867	0.06487	200000	-0.0625
-4	0.1475	0.01485	250000	-0.1459
-3	0.2805	0.01389	250000	-0.1503
-2	0.4122	0.01295	250000	-0.1544
-1	0.5413	0.01229	250000	-0.1578
0	0.6515	0.01227	250000	-0.1572
1	0.7643	0.01226	250000	-0.157
2	0.8717	0.01224	250000	-0.1558
3	0.9632	0.01218	250000	-0.1512
4	1.0843	0.01246	250000	-0.1543
5	1.1832	0.01298	250000	-0.1524
6	1.2714	0.01371	250000	-0.1482
7	1.3391	0.01474	250000	-0.1399
8	1.3886	0.01649	250000	-0.1288
9	1.4166	0.01971	250000	-0.1154
10	1.4195	0.0254	250000	-0.1007
11	1.4231	0.03252	250000	-0.0893
12	1.4334	0.04029	250000	-0.0808
13	1.4491	0.04839	250000	-0.0744
14	1.4672	0.05669	250000	-0.0692
15	1.4869	0.06534	250000	-0.0657
-5	0.0571	0.0147	300000	-0.147
-4	0.1866	0.01254	300000	-0.1524
-3	0.3154	0.01174	300000	-0.1561
-2	0.4433	0.01104	300000	-0.1597
-1	0.5557	0.01076	300000	-0.1599
0	0.67	0.01076	300000	-0.1604
1	0.7833	0.01089	300000	-0.1605
2	0.8865	0.01107	300000	-0.1587
3	0.9844	0.0112	300000	-0.1558
4	1.0866	0.01131	300000	-0.1541
5	1.1847	0.01191	300000	-0.1522
6	1.2704	0.01273	300000	-0.1477
7	1.3346	0.01387	300000	-0.1388
8	1.3851	0.01583	300000	-0.1282
9	1.412	0.0194	300000	-0.1149
10	1.4208	0.02507	300000	-0.1015
11	1.4332	0.03167	300000	-0.091
12	1.4509	0.0388	300000	-0.0831
13	1.47	0.04655	300000	-0.0768
14	1.4855	0.05521	300000	-0.0719
15	1.501	0.06447	300000	-0.0685
-5	0.0841	0.01245	350000	-0.1524
-4	0.2105	0.01108	350000	-0.1565
-3	0.3336	0.01048	350000	-0.1591
-2	0.4497	0.01004	350000	-0.1603
-1	0.5663	0.00977	350000	-0.1616
0	0.6808	0.0098	350000	-0.1622
1	0.7883	0.01002	350000	-0.1614
2	0.8938	0.01027	350000	-0.1602
3	0.9941	0.01049	350000	-0.1579
4	1.0861	0.01052	350000	-0.1536
5	1.1832	0.01118	350000	-0.1517
6	1.2669	0.01205	350000	-0.1468
7	1.3316	0.01329	350000	-0.1381
8	1.3826	0.01541	350000	-0.1278
9	1.4089	0.01925	350000	-0.1148
10	1.4242	0.02472	350000	-0.1024
11	1.4443	0.03079	350000	-0.0927
12	1.4674	0.03742	350000	-0.0851
13	1.4852	0.0452	350000	-0.0786
