HT14			rows = 658
-5	-0.4751	0.0635	13000	0.0542
-3	-0.2266	0.03384	13000	0.0008
-2	-0.1803	0.02967	13000	-0.0021
-1	-0.094	0.02875	13000	-0.0013
0	0.0001	0.02852	13000	0
1	0.0943	0.02875	13000	0.0013
2	0.1805	0.02967	13000	0.0021
3	0.2268	0.03385	13000	-0.0008
4	0.2531	0.0428	13000	-0.0117
5	0.4754	0.06352	13000	-0.0542
6	0.5317	0.07867	13000	-0.0612
7	0.531	0.0915	13000	-0.0647
8	0.4036	0.08913	13000	-0.0429
9	0.4406	0.10291	13000	-0.049
10	0.4771	0.11728	13000	-0.055
11	0.5138	0.13207	13000	-0.061
12	0.5509	0.14712	13000	-0.0672
13	0.6387	0.17211	13000	-0.0855
14	0.7167	0.19545	13000	-0.0952
15	0.7648	0.21282	13000	-0.0984
-5	-0.5891	0.04755	25000	0.0138
-4	-0.4974	0.03599	25000	0.013
-3	-0.4117	0.02849	25000	0.0222
-2	-0.1812	0.02125	25000	-0.0022
-1	-0.0962	0.02024	25000	-0.0015
0	0.0001	0.02004	25000	0
1	0.0964	0.02024	25000	0.0015
2	0.1814	0.02125	25000	0.0022
3	0.4119	0.0285	25000	-0.0222
4	0.4976	0.03601	25000	-0.013
5	0.5893	0.04757	25000	-0.0138
6	0.6525	0.0662	25000	-0.0255
8	0.521	0.09896	25000	-0.0719
9	0.6077	0.11995	25000	-0.0748
10	0.6511	0.13677	25000	-0.0723
11	0.6872	0.15337	25000	-0.0711
12	0.7242	0.17157	25000	-0.0714
13	0.7361	0.18288	25000	-0.073
14	0.7641	0.1976	25000	-0.0759
15	0.7917	0.2118	25000	-0.0801
-5	-0.5611	0.02962	50000	-0.006
-4	-0.457	0.02373	50000	-0.004
-3	-0.3543	0.01928	50000	-0.0005
-2	-0.2705	0.01553	50000	0.0125
-1	-0.0978	0.01431	50000	-0.0017
0	0.0001	0.01414	50000	0
1	0.098	0.01431	50000	0.0017
2	0.2709	0.01554	50000	-0.0125
3	0.3545	0.01929	50000	0.0005
4	0.4573	0.02374	50000	0.004
5	0.5613	0.02963	50000	0.006
6	0.6583	0.03917	50000	0.0067
